hit_id,true_label,label
30P8I9JKOKUS13FOJMZEO49WU2SV5W,UNFAIR,UNFAIR
31ANT7FQNABNJ2K4EXIA93INMNI5HH,FAIR,UNFAIR
31GN6YMHLR16MUD4LSHI3H22FV2SW5,FAIR,UNFAIR
31YWE12TE2LZSWY27UFTA9KD1JVX7G,UNFAIR,UNFAIR
337F8MIIM1MUCJA82KSFYJDS0AL045,FAIR,UNFAIR
33K3E8REWY43SA3LHZ7ZO9G8C31X83,FAIR,FAIR
33NKDW9FFZR54DTYYBN4QVCR2UMXC9,UNFAIR,UNFAIR
34R0BODSP38BZST2OWA4O0LAU7Q5E1,FAIR,UNFAIR
35A1YQPVFGPNFXVOKF0V9FJ2M0X5IA,UNFAIR,UNFAIR
35O6H0UNLUPJA8FU2XLVLGY2ZFM5JM,FAIR,UNFAIR
36QZ6V158BMTUQOZQS2HLTH5UFRSU6,UNFAIR,FAIR
386659BNTNQDKKDPF29D0L6POQB01S,UNFAIR,UNFAIR
38XPGNCKHV9A5KBO5HG4JC3IU6XV4R,FAIR,UNFAIR
39KMGHJ4R1JDDVS7JJ5DMGNFJY500P,FAIR,FAIR
3CESM1J3EKC1ZWF7EFEF2C6AX666WY,FAIR,FAIR
3DWGDA5POHDTDLE5IZX2LEWFIMNV1E,FAIR,FAIR
3EAWOID6MV6T6WTNMGT279D5DUHV0B,FAIR,FAIR
3EFNPKWBMUX9UNR426NWOELMMAP03K,FAIR,UNFAIR
3HA5ODM5KC1T75DZVICMHFJO8M0SVV,UNFAIR,UNFAIR
3HO4MYYR14XO7SQ2JFZEKOLDCQV6UZ,UNFAIR,UNFAIR
3HXCEECSQO27CBUIVLTEK7KLDI2ZYG,FAIR,UNFAIR
3I6NF2WGII59J6PTUR0SO36M7N55GI,FAIR,FAIR
3IWA71V4TKPGOWKXOKA14VKH68BX6H,FAIR,FAIR
3IWA71V4TKPGOWKXOKA14VKH68C6XR,FAIR,FAIR
3J5XXLQDHOKPNOSK53BL97BCG61V36,FAIR,FAIR
3J94SKDEKKY67MF2S1ZKII3PUVP5D8,FAIR,UNFAIR
3JMNNNO3B3DDHVW6RD2CCZPYH142WD,FAIR,UNFAIR
3MDKGGG61SW97FBDJA94FSZBTCO6T8,FAIR,UNFAIR
3MNJFORX8DD356TYJ7UA6I6A6855FJ,FAIR,UNFAIR
3NI0WFPPIBP8R6EML8LUVHX6W1R06Q,FAIR,UNFAIR
3OWZNK3RYNY0PR71WDNBUB41WLT2UE,FAIR,UNFAIR
3P458N04Q3QS6V1W1IYYEI35Q3A2X6,FAIR,UNFAIR
3PR3LXCWSH836FMVMRDDO5BJW9JX9S,FAIR,FAIR
3QD8LUVX4Z7K5SKJJ10WCP6HAD0X51,FAIR,UNFAIR
3S8A4GJRD5COK7F2O59JGANWQX3V6C,FAIR,FAIR
3S8A4GJRD5COK7F2O59JGANWQX46VO,FAIR,UNFAIR
3TLFH2L6YBXLPESCW8X1PFIZD7M2TN,FAIR,FAIR
3UOMW19E6FFW2U9OS549YCL79VD5C8,UNFAIR,FAIR
3UQVX1UPFUQK95VLY69R54GUGWP029,FAIR,FAIR
3VZYA8PITQ7C82E8GPBP3BJ606G05A,FAIR,FAIR
3WRAAIUSBL8HBYW0EXRDK0M32R1XA7,FAIR,FAIR
3WYZV0QBFLMMU81SKBR9FB69K9MXB2,FAIR,UNFAIR
3XQ4XW3ODBLKAEFX78SBFAMDBO82SY,FAIR,UNFAIR
3XU9MCX6VQL89ZFKSJS6P0HHPMP2RA,UNFAIR,UNFAIR
3Y7LTZE0YVVQV2ADLKWPHME8HURUZD,UNFAIR,FAIR
3YLPJ8OXXAM299GJ5WHM7X03AH5X4W,UNFAIR,UNFAIR
3ZG552ORAOD026W113XGQX6KAS1V2V,FAIR,UNFAIR
3ZG552ORAOD026W113XGQX6KAS22V3,FAIR,UNFAIR
3ZICQFRS33R7H14NR7VXYETNJC6ZZ7,FAIR,UNFAIR
